Date,Open,High,Low,Close,Adj Close,Volume
2023-03-30,101796.000000,104085.000000,101796.000000,103713.000000,103713.000000,14901600
2023-03-31,103714.000000,104041.000000,101476.000000,101882.000000,101882.000000,15111200
2023-04-03,101883.000000,101916.000000,100651.000000,101506.000000,101506.000000,12794800
2023-04-04,101505.000000,103056.000000,101505.000000,101869.000000,101869.000000,11695800
2023-04-05,101869.000000,101960.000000,99898.000000,100978.000000,100978.000000,13256500
2023-04-06,100978.000000,101628.000000,100443.000000,100822.000000,100822.000000,9818500
2023-04-10,100822.000000,102196.000000,100819.000000,101847.000000,101847.000000,8148700
2023-04-11,101849.000000,106455.000000,101848.000000,106214.000000,106214.000000,18725700
2023-04-12,106218.000000,108277.000000,106217.000000,106890.000000,106890.000000,17345500
2023-04-13,106890.000000,107037.000000,106220.000000,106458.000000,106458.000000,12182900
2023-04-14,106458.000000,106701.000000,104934.000000,106279.000000,106279.000000,11501000
2023-04-17,106279.000000,106830.000000,105623.000000,106016.000000,106016.000000,10253400
2023-04-18,106023.000000,106475.000000,105122.000000,106163.000000,106163.000000,11207900
2023-04-19,106149.000000,106149.000000,103604.000000,103913.000000,103913.000000,12713600
2023-04-20,103913.000000,104615.000000,103087.000000,104367.000000,104367.000000,12378000
2023-04-24,104367.000000,104822.000000,103247.000000,103947.000000,103947.000000,10935400
2023-04-25,103947.000000,103947.000000,102633.000000,103220.000000,103220.000000,10873200
2023-04-26,103220.000000,103668.000000,102233.000000,102312.000000,102312.000000,10115500
2023-04-27,102310.000000,103177.000000,101975.000000,102923.000000,102923.000000,11302800
2023-04-28,102923.000000,104432.000000,102449.000000,104432.000000,104432.000000,13080900
2023-05-02,104431.000000,104447.000000,101569.000000,101927.000000,101927.000000,12018000
2023-05-03,101927.000000,102331.000000,101433.000000,101797.000000,101797.000000,11688200
2023-05-04,101798.000000,103321.000000,101063.000000,102174.000000,102174.000000,14837300
2023-05-05,102175.000000,105306.000000,102175.000000,105148.000000,105148.000000,16699500
2023-05-08,105161.000000,106716.000000,105161.000000,106042.000000,106042.000000,13259200
2023-05-09,106028.000000,107731.000000,105549.000000,107114.000000,107114.000000,13526600
2023-05-10,107114.000000,107744.000000,106538.000000,107448.000000,107448.000000,13576900
2023-05-11,107446.000000,108667.000000,106419.000000,108256.000000,108256.000000,12772100
2023-05-12,108256.000000,108817.000000,107497.000000,108464.000000,108464.000000,0
2023-05-15,108469.000000,109271.000000,108356.000000,109029.000000,109029.000000,11603200
2023-05-16,109029.000000,110151.000000,108085.000000,108194.000000,108194.000000,16897300
2023-05-17,108194.000000,109774.000000,108188.000000,109460.000000,109460.000000,13993000
2023-05-18,109459.000000,110206.000000,108864.000000,110108.000000,110108.000000,13613100
2023-05-19,110113.000000,111211.000000,109787.000000,110745.000000,110745.000000,16135800
2023-05-22,110745.000000,111643.000000,110178.000000,110213.000000,110213.000000,11769400
2023-05-23,110213.000000,111325.000000,109713.000000,109929.000000,109929.000000,12334800
2023-05-24,109920.000000,109920.000000,108546.000000,108800.000000,108800.000000,12980200
2023-05-25,108800.000000,111115.000000,108800.000000,110054.000000,110054.000000,14745300
2023-05-26,110058.000000,111706.000000,109900.000000,110906.000000,110906.000000,11019700
2023-05-29,110906.000000,111168.000000,110195.000000,110333.000000,110333.000000,5913000
2023-05-30,110333.000000,111291.000000,108552.000000,108967.000000,108967.000000,11588000
2023-05-31,108967.000000,109137.000000,108193.000000,108335.000000,108335.000000,15861100
2023-06-01,108339.000000,110745.000000,108335.000000,110565.000000,110565.000000,14669000
